date,datetime,SPOSTMIN,SACTMIN
6/30/2018,6/30/2018 7:44,150,
6/30/2018,6/30/2018 7:51,150,
6/30/2018,6/30/2018 7:58,150,
6/30/2018,6/30/2018 8:02,150,
6/30/2018,6/30/2018 8:07,150,
6/30/2018,6/30/2018 8:09,130,
6/30/2018,6/30/2018 8:12,135,
6/30/2018,6/30/2018 8:16,130,
6/30/2018,6/30/2018 8:23,130,
6/30/2018,6/30/2018 8:29,130,
6/30/2018,6/30/2018 8:37,130,
6/30/2018,6/30/2018 8:44,100,
6/30/2018,6/30/2018 8:51,100,
6/30/2018,6/30/2018 8:52,140,
6/30/2018,6/30/2018 8:58,100,
6/30/2018,6/30/2018 9:02,100,
6/30/2018,6/30/2018 9:09,100,
6/30/2018,6/30/2018 9:16,90,
6/30/2018,6/30/2018 9:23,90,
6/30/2018,6/30/2018 9:29,70,
6/30/2018,6/30/2018 9:37,70,
6/30/2018,6/30/2018 9:44,90,
6/30/2018,6/30/2018 9:51,90,
6/30/2018,6/30/2018 9:58,120,
6/30/2018,6/30/2018 10:02,120,
6/30/2018,6/30/2018 10:06,120,
6/30/2018,6/30/2018 10:09,120,
6/30/2018,6/30/2018 10:16,120,
6/30/2018,6/30/2018 10:23,120,
6/30/2018,6/30/2018 10:29,140,
6/30/2018,6/30/2018 10:37,140,
6/30/2018,6/30/2018 10:44,160,
6/30/2018,6/30/2018 10:51,160,
6/30/2018,6/30/2018 10:58,160,
6/30/2018,6/30/2018 11:02,160,
6/30/2018,6/30/2018 11:09,160,
6/30/2018,6/30/2018 11:16,160,
6/30/2018,6/30/2018 11:23,160,
6/30/2018,6/30/2018 11:29,160,
6/30/2018,6/30/2018 11:37,190,
6/30/2018,6/30/2018 11:44,190,
6/30/2018,6/30/2018 11:51,190,
6/30/2018,6/30/2018 11:58,190,
6/30/2018,6/30/2018 12:02,120,
6/30/2018,6/30/2018 12:09,120,
6/30/2018,6/30/2018 12:16,120,
6/30/2018,6/30/2018 12:23,120,
6/30/2018,6/30/2018 12:29,120,
6/30/2018,6/30/2018 12:37,100,
6/30/2018,6/30/2018 12:44,100,
6/30/2018,6/30/2018 12:51,80,
6/30/2018,6/30/2018 12:58,70,
6/30/2018,6/30/2018 13:02,70,
6/30/2018,6/30/2018 13:09,70,
6/30/2018,6/30/2018 13:16,70,
6/30/2018,6/30/2018 13:23,70,
6/30/2018,6/30/2018 13:29,70,
6/30/2018,6/30/2018 13:58,120,
6/30/2018,6/30/2018 14:02,120,
