date,datetime,SPOSTMIN,SACTMIN
1/1/2018,1/1/2018 7:54,-999,
1/1/2018,1/1/2018 8:01,5,
1/1/2018,1/1/2018 8:07,5,
1/1/2018,1/1/2018 8:10,15,
1/1/2018,1/1/2018 8:19,15,
1/1/2018,1/1/2018 8:28,15,
1/1/2018,1/1/2018 8:32,15,
1/1/2018,1/1/2018 8:40,20,
1/1/2018,1/1/2018 8:47,20,
1/1/2018,1/1/2018 8:52,20,
1/1/2018,1/1/2018 8:59,20,
1/1/2018,1/1/2018 9:03,15,
1/1/2018,1/1/2018 9:10,15,
1/1/2018,1/1/2018 9:21,15,
1/1/2018,1/1/2018 9:28,20,
1/1/2018,1/1/2018 9:30,20,
1/1/2018,1/1/2018 9:42,20,
1/1/2018,1/1/2018 9:45,20,
1/1/2018,1/1/2018 9:54,20,
1/1/2018,1/1/2018 9:59,20,
1/1/2018,1/1/2018 10:05,20,
1/1/2018,1/1/2018 10:10,20,
1/1/2018,1/1/2018 10:17,20,
1/1/2018,1/1/2018 10:24,20,
1/1/2018,1/1/2018 10:30,25,
1/1/2018,1/1/2018 10:38,30,
1/1/2018,1/1/2018 10:45,30,
1/1/2018,1/1/2018 10:52,25,
1/1/2018,1/1/2018 11:01,25,
1/1/2018,1/1/2018 11:03,30,
1/1/2018,1/1/2018 11:10,30,
1/1/2018,1/1/2018 11:19,35,
1/1/2018,1/1/2018 11:24,20,
1/1/2018,1/1/2018 11:34,20,
1/1/2018,1/1/2018 11:42,20,
1/1/2018,1/1/2018 11:45,20,
1/1/2018,1/1/2018 11:52,20,
1/1/2018,1/1/2018 11:59,20,
1/1/2018,1/1/2018 12:07,30,
1/1/2018,1/1/2018 12:10,30,
1/1/2018,1/1/2018 12:17,30,
1/1/2018,1/1/2018 12:26,35,
1/1/2018,1/1/2018 12:30,35,
1/1/2018,1/1/2018 12:44,30,
1/1/2018,1/1/2018 12:49,30,
1/1/2018,1/1/2018 12:54,35,
1/1/2018,1/1/2018 13:03,35,
1/1/2018,1/1/2018 13:05,35,
1/1/2018,1/1/2018 13:07,35,
1/1/2018,1/1/2018 13:10,45,
1/1/2018,1/1/2018 13:17,50,
1/1/2018,1/1/2018 13:26,50,
1/1/2018,1/1/2018 13:07,,27
1/1/2018,1/1/2018 13:34,50,
1/1/2018,1/1/2018 13:38,50,
1/1/2018,1/1/2018 13:47,50,
1/1/2018,1/1/2018 13:54,50,
1/1/2018,1/1/2018 13:59,50,
1/1/2018,1/1/2018 14:03,50,
1/1/2018,1/1/2018 14:14,50,
1/1/2018,1/1/2018 14:23,50,
1/1/2018,1/1/2018 14:24,50,
1/1/2018,1/1/2018 14:36,50,
1/1/2018,1/1/2018 14:40,50,
1/1/2018,1/1/2018 14:51,55,
1/1/2018,1/1/2018 14:52,55,
1/1/2018,1/1/2018 14:59,55,
1/1/2018,1/1/2018 15:03,55,
1/1/2018,1/1/2018 15:12,50,
1/1/2018,1/1/2018 15:21,30,
1/1/2018,1/1/2018 15:21,30,
1/1/2018,1/1/2018 15:24,30,
1/1/2018,1/1/2018 15:30,30,
1/1/2018,1/1/2018 15:38,30,
1/1/2018,1/1/2018 15:47,30,
1/1/2018,1/1/2018 15:54,45,
1/1/2018,1/1/2018 16:05,40,
1/1/2018,1/1/2018 16:05,40,
1/1/2018,1/1/2018 16:10,40,
1/1/2018,1/1/2018 16:21,40,
1/1/2018,1/1/2018 16:24,40,
1/1/2018,1/1/2018 16:32,40,
1/1/2018,1/1/2018 16:38,35,
1/1/2018,1/1/2018 16:45,30,
1/1/2018,1/1/2018 16:58,30,
1/1/2018,1/1/2018 16:59,30,
1/1/2018,1/1/2018 17:09,20,
1/1/2018,1/1/2018 17:10,20,
1/1/2018,1/1/2018 17:14,25,
1/1/2018,1/1/2018 17:19,25,
1/1/2018,1/1/2018 17:24,25,
1/1/2018,1/1/2018 17:32,25,
1/1/2018,1/1/2018 17:38,25,
1/1/2018,1/1/2018 17:45,25,
1/1/2018,1/1/2018 17:50,20,
1/1/2018,1/1/2018 17:51,,4
1/1/2018,1/1/2018 17:56,20,
1/1/2018,1/1/2018 18:03,20,
1/1/2018,1/1/2018 18:05,20,
1/1/2018,1/1/2018 18:10,20,
1/1/2018,1/1/2018 18:21,20,
1/1/2018,1/1/2018 18:26,20,
1/1/2018,1/1/2018 18:30,20,
1/1/2018,1/1/2018 18:38,15,
1/1/2018,1/1/2018 18:45,15,
1/1/2018,1/1/2018 18:52,15,
1/1/2018,1/1/2018 18:59,15,
1/1/2018,1/1/2018 19:05,15,
1/1/2018,1/1/2018 19:10,15,
1/1/2018,1/1/2018 19:19,15,
1/1/2018,1/1/2018 19:26,10,
1/1/2018,1/1/2018 19:38,10,
1/1/2018,1/1/2018 19:40,10,
1/1/2018,1/1/2018 19:51,10,
1/1/2018,1/1/2018 19:56,10,
1/1/2018,1/1/2018 19:59,10,
1/1/2018,1/1/2018 20:07,-999,
1/2/2018,1/2/2018 7:54,5,
1/2/2018,1/2/2018 8:03,5,
1/2/2018,1/2/2018 8:03,5,
1/2/2018,1/2/2018 8:10,5,
1/2/2018,1/2/2018 8:19,10,
1/2/2018,1/2/2018 8:24,10,
1/2/2018,1/2/2018 8:32,10,
1/2/2018,1/2/2018 8:40,10,
1/2/2018,1/2/2018 8:47,10,
1/2/2018,1/2/2018 8:52,10,
1/2/2018,1/2/2018 8:59,10,
1/2/2018,1/2/2018 9:05,10,
1/2/2018,1/2/2018 9:10,10,
1/2/2018,1/2/2018 9:10,10,
1/2/2018,1/2/2018 9:17,15,
1/2/2018,1/2/2018 9:24,15,
1/2/2018,1/2/2018 9:30,20,
1/2/2018,1/2/2018 9:38,25,
1/2/2018,1/2/2018 9:47,40,
1/2/2018,1/2/2018 9:52,55,
1/2/2018,1/2/2018 10:01,55,
1/2/2018,1/2/2018 10:05,55,
1/2/2018,1/2/2018 10:14,55,
1/2/2018,1/2/2018 10:19,55,
1/2/2018,1/2/2018 10:24,75,
1/2/2018,1/2/2018 10:32,75,
1/2/2018,1/2/2018 10:38,75,
1/2/2018,1/2/2018 10:45,70,
1/2/2018,1/2/2018 10:52,70,
1/2/2018,1/2/2018 10:58,75,
1/2/2018,1/2/2018 11:03,80,
1/2/2018,1/2/2018 11:05,90,
1/2/2018,1/2/2018 11:10,-999,
1/2/2018,1/2/2018 11:12,-999,
1/2/2018,1/2/2018 11:17,-999,
1/2/2018,1/2/2018 11:19,90,
1/2/2018,1/2/2018 11:24,100,
1/2/2018,1/2/2018 11:28,-999,
1/2/2018,1/2/2018 11:36,-999,
1/2/2018,1/2/2018 11:38,-999,
1/2/2018,1/2/2018 11:49,115,
1/2/2018,1/2/2018 11:58,115,
1/2/2018,1/2/2018 11:59,115,
1/2/2018,1/2/2018 12:07,115,
1/2/2018,1/2/2018 12:10,125,
1/2/2018,1/2/2018 12:21,130,
1/2/2018,1/2/2018 12:24,130,
1/2/2018,1/2/2018 12:30,60,
1/2/2018,1/2/2018 12:44,65,
1/2/2018,1/2/2018 12:45,65,
1/2/2018,1/2/2018 12:52,65,
1/2/2018,1/2/2018 13:03,65,
1/2/2018,1/2/2018 13:03,65,
1/2/2018,1/2/2018 13:14,65,
1/2/2018,1/2/2018 13:19,65,
1/2/2018,1/2/2018 13:24,65,
1/2/2018,1/2/2018 13:34,40,
1/2/2018,1/2/2018 13:38,65,
1/2/2018,1/2/2018 13:47,75,
1/2/2018,1/2/2018 13:54,75,
1/2/2018,1/2/2018 13:59,80,
1/2/2018,1/2/2018 14:00,90,
1/2/2018,1/2/2018 14:05,85,
1/2/2018,1/2/2018 14:12,105,
1/2/2018,1/2/2018 14:19,105,
1/2/2018,1/2/2018 14:24,105,
1/2/2018,1/2/2018 13:25,,65
1/2/2018,1/2/2018 14:30,105,
1/2/2018,1/2/2018 14:38,105,
1/2/2018,1/2/2018 14:47,105,
1/2/2018,1/2/2018 14:54,105,
1/2/2018,1/2/2018 14:59,105,
1/2/2018,1/2/2018 15:05,80,
1/2/2018,1/2/2018 15:18,90,
1/2/2018,1/2/2018 15:19,80,
1/2/2018,1/2/2018 15:21,90,
1/2/2018,1/2/2018 15:28,110,
1/2/2018,1/2/2018 15:36,110,
1/2/2018,1/2/2018 15:38,110,
1/2/2018,1/2/2018 15:51,105,
1/2/2018,1/2/2018 15:52,105,
1/2/2018,1/2/2018 16:01,65,
1/2/2018,1/2/2018 16:07,65,
1/2/2018,1/2/2018 16:14,65,
1/2/2018,1/2/2018 16:17,65,
1/2/2018,1/2/2018 16:26,65,
1/2/2018,1/2/2018 16:30,65,
1/2/2018,1/2/2018 16:44,65,
1/2/2018,1/2/2018 16:45,65,
1/2/2018,1/2/2018 16:52,65,
1/2/2018,1/2/2018 16:59,65,
1/2/2018,1/2/2018 17:03,65,
1/2/2018,1/2/2018 17:12,65,
1/2/2018,1/2/2018 17:17,65,
1/2/2018,1/2/2018 17:26,65,
1/2/2018,1/2/2018 17:32,65,
