date,datetime,SPOSTMIN,SACTMIN
5/26/2017,5/26/2017 9:06,-999,
5/26/2017,5/26/2017 9:10,5,
5/26/2017,5/26/2017 9:17,60,
5/26/2017,5/26/2017 9:24,60,
5/26/2017,5/26/2017 9:30,60,
5/26/2017,5/26/2017 9:38,45,
5/26/2017,5/26/2017 9:45,45,
5/26/2017,5/26/2017 9:53,45,
5/26/2017,5/26/2017 9:10,,47
5/26/2017,5/26/2017 9:59,45,
5/26/2017,5/26/2017 10:05,-999,
5/26/2017,5/26/2017 10:17,45,
5/26/2017,5/26/2017 10:24,55,
5/26/2017,5/26/2017 10:38,65,
5/26/2017,5/26/2017 10:45,65,
5/26/2017,5/26/2017 10:52,75,
5/26/2017,5/26/2017 10:59,75,
5/26/2017,5/26/2017 11:03,75,
5/26/2017,5/26/2017 11:10,85,
5/26/2017,5/26/2017 11:17,85,
5/26/2017,5/26/2017 11:30,85,
5/26/2017,5/26/2017 11:38,85,
5/26/2017,5/26/2017 11:45,85,
5/26/2017,5/26/2017 11:52,100,
5/26/2017,5/26/2017 11:59,100,
5/26/2017,5/26/2017 12:03,100,
5/26/2017,5/26/2017 12:10,100,
5/26/2017,5/26/2017 12:17,100,
5/26/2017,5/26/2017 12:24,105,
5/26/2017,5/26/2017 12:26,-999,
5/26/2017,5/26/2017 12:30,65,
5/26/2017,5/26/2017 12:38,70,
5/26/2017,5/26/2017 12:45,75,
5/26/2017,5/26/2017 11:44,,62
5/26/2017,5/26/2017 12:52,70,
5/26/2017,5/26/2017 12:59,70,
5/26/2017,5/26/2017 13:03,65,
5/26/2017,5/26/2017 13:10,75,
5/26/2017,5/26/2017 13:17,65,
5/26/2017,5/26/2017 11:44,,62
5/26/2017,5/26/2017 13:30,60,
5/26/2017,5/26/2017 13:35,-999,
5/26/2017,5/26/2017 13:38,65,
5/26/2017,5/26/2017 13:45,65,
5/26/2017,5/26/2017 13:52,65,
5/26/2017,5/26/2017 13:59,65,
5/26/2017,5/26/2017 14:03,75,
5/26/2017,5/26/2017 14:10,70,
5/26/2017,5/26/2017 14:17,70,
5/26/2017,5/26/2017 14:24,70,
5/26/2017,5/26/2017 14:30,70,
5/26/2017,5/26/2017 13:25,,75
5/26/2017,5/26/2017 18:10,10,
5/26/2017,5/26/2017 18:17,10,
5/26/2017,5/26/2017 18:24,10,
5/26/2017,5/26/2017 18:30,10,
5/26/2017,5/26/2017 18:38,10,
5/26/2017,5/26/2017 18:45,10,
5/26/2017,5/26/2017 18:52,10,
5/26/2017,5/26/2017 18:59,10,
5/26/2017,5/26/2017 19:03,10,
5/26/2017,5/26/2017 19:10,10,
5/26/2017,5/26/2017 19:17,10,
5/26/2017,5/26/2017 19:24,10,
5/26/2017,5/26/2017 19:30,10,
5/26/2017,5/26/2017 19:38,10,
5/26/2017,5/26/2017 19:45,10,
5/26/2017,5/26/2017 19:52,10,
5/26/2017,5/26/2017 19:59,20,
5/26/2017,5/26/2017 20:03,20,
5/26/2017,5/26/2017 20:10,20,
5/26/2017,5/26/2017 20:17,20,
5/26/2017,5/26/2017 20:24,20,
5/26/2017,5/26/2017 20:30,10,
